абайя абайя noun:inanim:f:v_naz:ua_1992
мирра мирра noun:inanim:f:v_naz
мирта мирта noun:inanim:f:v_naz
мисик мисик noun:inanim:m:v_naz
миска миска noun:inanim:f:v_naz
мисль мисль noun:inanim:f:v_naz
митар митар noun:anim:m:v_naz
митий митий adj:m:v_naz:&adjp:pasv:imperf
митра митра noun:inanim:f:v_naz
миттю миттю adv
миття миття noun:inanim:n:v_naz
мичка мичка noun:inanim:f:v_naz
мишва мишва noun:inanim:f:v_naz
мишій мишій noun:inanim:m:v_naz
мишка мишка noun:anim:f:v_naz
мишка мишка noun:inanim:f:v_naz
міазм міазм noun:inanim:m:v_naz
мігма мігма noun:inanim:f:v_naz
мідія мідія noun:anim:f:v_naz
мідяк мідяк noun:inanim:m:v_naz
мідяр мідяр noun:anim:m:v_naz
мізер мізер noun:inanim:m:v_naz:xp1
мізер мізер noun:inanim:m:v_naz:xp2
мізки мізки noun:inanim:p:v_naz:ns
мізюк мізюк noun:inanim:m:v_naz
мікоз мікоз noun:inanim:m:v_naz
мікст мікст noun:inanim:m:v_naz
міліш міліше adv:compc:short
мілке мілке noun:inanim:n:v_naz
мілко мілко adv:compb
мінер мінер noun:anim:m:v_naz
мінет мінет noun:inanim:m:v_naz
мінея мінея noun:inanim:f:v_naz
мінор мінор noun:inanim:m:v_naz:xp1
мінор мінор noun:inanim:m:v_naz:xp2
мінус мінус noun:inanim:m:v_naz
міома міома noun:inanim:f:v_naz
міраж міраж noun:inanim:m:v_naz
мірза мірза noun:anim:f:v_naz
мірка мірка noun:inanim:f:v_naz
мірно мірно adv
мірра мірра noun:inanim:f:v_naz
місис місис noun:anim:f:v_naz:nv:ua_2019
місіс місіс noun:anim:f:v_naz:nv:ua_1992
місія місія noun:inanim:f:v_naz
місто місто noun:inanim:n:v_naz
місце місце noun:inanim:n:v_naz
мітка мітка noun:inanim:f:v_naz
мітла мітла noun:inanim:f:v_naz
мітоз мітоз noun:inanim:m:v_naz
міхур міхур noun:inanim:m:v_naz
міцно міцно adv:compb
мішма мішма adv
мішма мішма noun:inanim:f:v_naz
мішок мішок noun:inanim:m:v_naz
мливо мливо noun:inanim:n:v_naz
мліти мліти verb:imperf:inf
мляво мляво adv:compb
ммоль ммоль noun:inanim:m:v_naz:nv
мовби мовби conj:subord
мовби мовби part
мовно мовно adv
могар могар noun:inanim:m:v_naz
могер могер noun:inanim:m:v_naz
могти могти verb:imperf:inf
могул могул noun:inanim:m:v_naz
модем модем noun:inanim:m:v_naz
модно модно adv:compb:&predic
модус модус noun:inanim:m:v_naz
можна можна noninfl:&predic
мозок мозок noun:inanim:m:v_naz
мойва мойва noun:anim:f:v_naz
мойра мойра noun:anim:f:v_naz
мойра мойра noun:inanim:f:v_naz
моква моква noun:inanim:f:v_naz
мокко мокко noun:inanim:n:v_naz:nv
мокро мокро adv:compb:&predic
мокша мокша noun:anim:m:v_naz
мокша мокша noun:anim:f:v_naz
молод молодий adj:m:v_naz:short
молот молот noun:inanim:m:v_naz
молох молох noun:anim:m:v_naz
моляр моляр noun:inanim:m:v_naz
монах монах noun:anim:m:v_naz
монго монго noun:anim:n:v_naz:nv
моном моном noun:inanim:m:v_naz
мопед мопед noun:inanim:m:v_naz
морда морда noun:inanim:f:v_naz
морзе морзе noun:inanim:f:v_naz:nv
моріг моріг noun:inanim:m:v_naz
мороз мороз noun:inanim:m:v_naz
морок морок noun:inanim:m:v_naz
моряк моряк noun:anim:m:v_naz
моссі моссі noun:inanim:f:v_naz:nv
мосьє мосьє noun:anim:m:v_naz:nv
мосяж мосяж noun:inanim:m:v_naz
мотет мотет noun:inanim:m:v_naz
мотив мотив noun:inanim:m:v_naz
моток моток noun:inanim:m:v_naz
мотор мотор noun:inanim:m:v_naz
мотто мотто noun:inanim:n:v_naz:nv
мотуз мотуз noun:inanim:m:v_naz
мохер мохер noun:inanim:m:v_naz
моцак моцак noun:anim:m:v_naz
моція моція noun:inanim:f:v_naz
мочар мочар noun:inanim:m:v_naz
мочка мочка noun:inanim:f:v_naz
мошва мошва noun:inanim:f:v_naz
мошка мошка noun:anim:f:v_naz
мошка мошка noun:inanim:f:v_naz
мрець мрець noun:anim:m:v_naz
мріти мріти verb:imperf:inf
мряка мряка noun:inanim:f:v_naz
мугир мугир noun:anim:m:v_naz
мудра мудрий noun:anim:f:v_naz
мудро мудро adv:compb
мужик мужик noun:anim:m:v_naz
музей музей noun:inanim:m:v_naz
музин музин adj:m:v_naz
мулат мулат noun:anim:m:v_naz
муліт муліт noun:inanim:m:v_naz
мулко мулко adv:&predic
мулла мулла noun:anim:m:v_naz
муляж муляж noun:inanim:m:v_naz
муляр муляр noun:anim:m:v_naz
муміє муміє noun:inanim:m:v_naz:nv
мумія мумія noun:inanim:f:v_naz
мунда мунда noun:anim:m:v_naz:nv
мунда мунда noun:anim:f:v_naz:nv
мунда мунда noun:inanim:f:v_naz:nv
мурал мурал noun:inanim:m:v_naz
мурза мурза noun:anim:m:v_naz
мурий мурий adj:m:v_naz
мурло мурло noun:anim:m:v_naz
мурло мурло noun:anim:n:v_naz
мурло мурло noun:inanim:n:v_naz
мурсі мурсі noun:anim:p:v_naz:nv:ns
мусон мусон noun:inanim:m:v_naz
мутно мутно adv:compb
мутра мутра noun:inanim:f:v_naz
муфля муфля noun:inanim:f:v_naz
муфта муфта noun:inanim:f:v_naz
муцик муцик noun:anim:m:v_naz
мушва мушва noun:inanim:f:v_naz
мушка мушка noun:anim:f:v_naz
мушка мушка noun:inanim:f:v_naz
мушля мушля noun:inanim:f:v_naz
мчати мчати verb:imperf:inf
мюзет мюзет noun:inanim:m:v_naz:xp1
мюзет мюзет noun:inanim:m:v_naz:xp2
мюслі мюслі noun:inanim:p:v_naz:ns
набат набат noun:inanim:m:v_naz
набіг набіг noun:inanim:m:v_naz
набій набій noun:inanim:m:v_naz
набік набік adv
набір набір adv
набір набір noun:inanim:m:v_naz
набла набла noun:inanim:f:v_naz
набоб набоб noun:anim:m:v_naz
навал навал noun:inanim:m:v_naz
навар навар noun:inanim:m:v_naz
навід навід noun:inanim:m:v_naz
навік навік adv
навіс навіс noun:inanim:m:v_naz
навіч навіч adv
нагай нагай noun:inanim:m:v_naz
наган наган noun:inanim:m:v_naz
нагар нагар noun:inanim:m:v_naz
нагин нагин noun:inanim:m:v_naz
нагін нагін noun:inanim:m:v_naz
нагрі нагрі noun:inanim:m:v_naz:nv
нагул нагул noun:inanim:m:v_naz
надир надир noun:inanim:m:v_naz
надих надих noun:inanim:m:v_naz
надій надій noun:inanim:m:v_naz
наділ наділ noun:inanim:m:v_naz
надія надія noun:inanim:f:v_naz
надра надра noun:inanim:p:v_naz:ns
надто надто adv
нажив нажив noun:inanim:m:v_naz
нажин нажин noun:inanim:m:v_naz
назад назад adv
назва назва noun:inanim:f:v_naz
наїзд наїзд noun:inanim:m:v_naz
найда найда noun:anim:m:v_naz
найда найда noun:anim:f:v_naz
найми найми noun:inanim:p:v_naz:ns
найра найра noun:inanim:f:v_naz
найти найти verb:perf:inf
наказ наказ noun:inanim:m:v_naz
накат накат noun:inanim:m:v_naz
накид накид noun:inanim:m:v_naz
накип накип noun:inanim:m:v_naz
накіт накіт noun:inanim:m:v_naz
накри накри noun:inanim:p:v_naz:ns
налив налив noun:inanim:m:v_naz
наліт наліт noun:inanim:m:v_naz
намаз намаз noun:inanim:m:v_naz
намет намет noun:inanim:m:v_naz
намив намив noun:inanim:m:v_naz
намір намір noun:inanim:m:v_naz
намул намул noun:inanim:m:v_naz
намюр намюр noun:inanim:m:v_naz
нанду нанду noun:anim:m:v_naz:nv
наниз наниз adv
нанка нанка noun:inanim:f:v_naz
нанос нанос noun:inanim:m:v_naz
напад напад noun:inanim:m:v_naz
напис напис noun:inanim:m:v_naz
напів напів adv
напій напій noun:inanim:m:v_naz
напір напір noun:inanim:m:v_naz
нараз нараз adv
нарди нарди noun:inanim:p:v_naz:ns
нарив нарив noun:inanim:m:v_naz
нарис нарис noun:inanim:m:v_naz
наріз наріз noun:inanim:m:v_naz
народ народ noun:inanim:m:v_naz
нарта нарта noun:inanim:f:v_naz
наруч наруч adv
наряд наряд noun:inanim:m:v_naz
насад насад noun:inanim:m:v_naz
насип насип noun:inanim:m:v_naz
насит насит noun:inanim:m:v_naz
насів насів noun:inanim:m:v_naz
насос насос noun:inanim:m:v_naz
насув насув noun:inanim:m:v_naz
натще натще adv
натяг натяг noun:inanim:m:v_naz
натяк натяк noun:inanim:m:v_naz
наука наука noun:inanim:f:v_naz
науру науру noun:inanim:f:v_naz:nv
нафта нафта noun:inanim:f:v_naz
нахил нахил noun:inanim:m:v_naz
націл націл noun:inanim:m:v_naz
нація нація noun:inanim:f:v_naz
начеб начеб conj:subord
начеб начеб part
начіс начіс noun:inanim:m:v_naz
начос начос noun:inanim:m:v_naz
наяву наяву adv
наяда наяда noun:anim:f:v_naz
небіж небіж noun:anim:m:v_naz
невже невже part
невід невід noun:inanim:m:v_naz
невус невус noun:inanim:m:v_naz
негус негус noun:anim:m:v_naz
недуг недуг noun:inanim:m:v_naz
незле незле adv:&predic
нелад нелад noun:inanim:m:v_naz
нелюб нелюб noun:anim:m:v_naz
нелюд нелюд noun:anim:m:v_naz
немає немає noninfl:&predic
неміч неміч noun:inanim:f:v_naz
немов немов conj:subord
немов немов part
ненин ненин adj:m:v_naz
ненка ненка noun:anim:f:v_naz
нерет нерет noun:inanim:m:v_naz
нерка нерка noun:anim:f:v_naz
нерпа нерпа noun:anim:f:v_naz
нести нести verb:imperf:inf
несун несун noun:anim:m:v_naz
нетля нетля noun:anim:f:v_naz
нетрі нетрі noun:inanim:p:v_naz:ns
нетто нетто noninfl
нехай нехай conj:subord
нехай нехай part
нецке нецке noun:inanim:n:v_naz:nv
нзіма нзіма noun:inanim:f:v_naz:nv
нивка нивка noun:inanim:f:v_naz
нижче нижче adv:compc
нижче нижче prep
низка низка noun:inanim:f:v_naz
низом низом adv
нирка нирка noun:inanim:f:v_naz
нитка нитка noun:inanim:f:v_naz
ниття ниття noun:inanim:n:v_naz
ниций ниций adj:m:v_naz:compb
нівоз нівоз noun:inanim:m:v_naz
ніжка ніжка noun:inanim:f:v_naz
ніжно ніжно adv:compb
нікаб нікаб noun:inanim:m:v_naz
німий німий adj:m:v_naz
німий німий noun:anim:m:v_naz
німка німка noun:anim:f:v_naz
німфа німфа noun:anim:f:v_naz
німча німча noun:anim:n:v_naz
нірка нірка noun:inanim:f:v_naz
нітон нітон noun:inanim:m:v_naz
ніхто ніхто noun:anim:m:v_naz:&pron:neg
нічий нічий adj:m:v_naz:&pron:neg
нічия нічия noun:inanim:f:v_naz
нічка нічка noun:inanim:f:v_naz
нічно нічно adv
ніяко ніяко adv:&predic
нмоль нмоль noun:inanim:m:v_naz
новак новак noun:anim:m:v_naz
новий новий adj:m:v_naz:compb
новик новик noun:anim:m:v_naz
новіш новіше adv:compc:short
ножар ножар noun:anim:m:v_naz
ножик ножик noun:inanim:m:v_naz
нойон нойон noun:anim:m:v_naz
номад номад noun:anim:m:v_naz
номен номен noun:inanim:m:v_naz
номер номер noun:inanim:m:v_naz
номос номос noun:inanim:m:v_naz
нонет нонет noun:inanim:m:v_naz
норит норит noun:inanim:m:v_naz
норія норія noun:inanim:f:v_naz
норка норка noun:inanim:f:v_naz
норма норма noun:inanim:f:v_naz
норов норов noun:inanim:m:v_naz
носай носай noun:anim:m:v_naz
носак носак noun:inanim:m:v_naz
носар носар noun:anim:m:v_naz
носач носач noun:anim:m:v_naz
носик носик noun:inanim:m:v_naz
носій носій noun:anim:m:v_naz
носій носій noun:inanim:m:v_naz
носок носок noun:inanim:m:v_naz
нотар нотар noun:anim:m:v_naz
нотка нотка noun:inanim:f:v_naz
ночви ночви noun:inanim:p:v_naz:ns
ношпа ношпа noun:inanim:f:v_naz
нубук нубук noun:inanim:m:v_naz
нудко нудко adv:&predic
нудно нудно adv:compb:&predic
нужда нужда noun:inanim:f:v_naz
нулик нулик noun:inanim:m:v_naz
нумте нумте part
нурта нурта noun:inanim:f:v_naz
нутро нутро noun:inanim:n:v_naz
ньоро ньоро noun:inanim:f:v_naz:nv
нюанс нюанс noun:inanim:m:v_naz
нюхач нюхач noun:anim:m:v_naz
нянин нянин adj:m:v_naz
оазис оазис noun:inanim:m:v_naz
обвал обвал noun:inanim:m:v_naz
обвід обвід noun:inanim:m:v_naz
обгин обгин noun:inanim:m:v_naz
обгін обгін noun:inanim:m:v_naz
обдув обдув noun:inanim:m:v_naz
оберт оберт noun:inanim:m:v_naz
обжин обжин noun:inanim:m:v_naz
обзив обзив noun:inanim:m:v_naz
обком обком noun:inanim:m:v_naz
облік облік noun:inanim:m:v_naz
обліт обліт noun:inanim:m:v_naz
облом облом noun:inanim:m:v_naz
облуд облуд noun:inanim:m:v_naz
обман обман noun:inanim:m:v_naz
обмін обмін noun:inanim:m:v_naz
обмір обмір noun:inanim:m:v_naz
обніж обніж noun:inanim:f:v_naz
обора обора noun:inanim:f:v_naz
образ образ noun:inanim:m:v_naz:xp1
образ образ noun:inanim:m:v_naz:xp2
обрив обрив noun:inanim:m:v_naz
обрис обрис noun:inanim:m:v_naz
обріз обріз noun:inanim:m:v_naz:xp1
обріз обріз noun:inanim:m:v_naz:xp2
обрій обрій noun:inanim:m:v_naz
оброк оброк noun:inanim:m:v_naz
обруб обруб noun:inanim:m:v_naz
обруч обруч noun:inanim:m:v_naz
обряд обряд noun:inanim:m:v_naz
обсув обсув noun:inanim:m:v_naz
обсяг обсяг noun:inanim:m:v_naz
обтік обтік noun:inanim:m:v_naz
обхід обхід noun:inanim:m:v_naz
обшир обшир noun:inanim:m:v_naz
обшук обшук noun:inanim:m:v_naz
овеча овеча noun:anim:n:v_naz
овоїд овоїд noun:inanim:m:v_naz
огида огида noun:inanim:f:v_naz
оглан оглан noun:anim:m:v_naz
огляд огляд noun:inanim:m:v_naz
огрів огрів noun:inanim:m:v_naz
огріх огріх noun:inanim:m:v_naz
огуда огуда noun:inanim:f:v_naz
огузи огузи noun:anim:p:v_naz:ns
одежа одежа noun:inanim:f:v_naz
одеон одеон noun:inanim:m:v_naz
одіти одіти verb:perf:inf
однак однак adv:&insert
однак однак conj:coord
одчай одчай noun:inanim:m:v_naz
ожика ожика noun:inanim:f:v_naz
ожина ожина noun:inanim:f:v_naz
ожити ожити verb:perf:inf
озеро озеро noun:inanim:n:v_naz
озима озима noun:inanim:f:v_naz
озноб озноб noun:inanim:m:v_naz
окапі окапі noun:anim:f:v_naz:nv
окати окати verb:imperf:inf
океан океан noun:inanim:m:v_naz
окіст окіст noun:inanim:m:v_naz
оклад оклад noun:inanim:m:v_naz
оклик оклик noun:inanim:m:v_naz
окова окова noun:inanim:f:v_naz
окрай окрай prep
окрик окрик noun:inanim:m:v_naz
окрім окрім prep
окріп окріп noun:inanim:m:v_naz
округ округ noun:inanim:m:v_naz
округ округ prep
оксид оксид noun:inanim:m:v_naz
оксія оксія noun:inanim:f:v_naz
октан октан noun:inanim:m:v_naz
октет октет noun:inanim:m:v_naz
октод октод noun:inanim:m:v_naz
окунь окунь noun:anim:m:v_naz
окути окути verb:perf:inf
олеат олеат noun:inanim:m:v_naz
олеїн олеїн noun:inanim:m:v_naz
олень олень noun:anim:m:v_naz
оленя оленя noun:anim:n:v_naz
олеум олеум noun:inanim:m:v_naz
олива олива noun:inanim:f:v_naz
олімп олімп noun:inanim:m:v_naz
оліфа оліфа noun:inanim:f:v_naz
олово олово noun:inanim:n:v_naz
омана омана noun:inanim:f:v_naz
омбре омбре noun:inanim:n:v_naz:nv
омега омега noun:inanim:f:v_naz
омела омела noun:inanim:f:v_naz
омити омити verb:perf:inf
омлет омлет noun:inanim:m:v_naz
омрак омрак noun:inanim:m:v_naz
омуль омуль noun:anim:m:v_naz
онагр онагр noun:anim:m:v_naz
онікс онікс noun:inanim:m:v_naz
онова онова noun:inanim:f:v_naz
онука онука noun:anim:f:v_naz
онуча онуча noun:anim:n:v_naz
онуча онуча noun:inanim:f:v_naz
ооліт ооліт noun:inanim:m:v_naz
опади опади noun:inanim:p:v_naz:ns
опара опара noun:inanim:f:v_naz
опель опель noun:inanim:m:v_naz
опера опера noun:inanim:f:v_naz
опіка опіка noun:inanim:f:v_naz
опіум опіум noun:inanim:m:v_naz
оплін оплін noun:inanim:m:v_naz
опліт опліт noun:inanim:m:v_naz
опліч опліч adv
опока опока noun:inanim:f:v_naz
опора опора noun:inanim:f:v_naz
опріч опріч adv
опріч опріч prep
опсин опсин noun:inanim:m:v_naz
оптик оптик noun:anim:m:v_naz
опція опція noun:inanim:f:v_naz
орава орава noun:inanim:f:v_naz
орало орало noun:inanim:n:v_naz
оране оране noun:inanim:n:v_naz
орати орати verb:imperf:inf
орган орган noun:inanim:m:v_naz:xp1
орган орган noun:inanim:m:v_naz:xp2
оргія оргія noun:inanim:f:v_naz
орден орден noun:inanim:m:v_naz:xp1
орден орден noun:inanim:m:v_naz:xp2
ордер ордер noun:inanim:m:v_naz
ореол ореол noun:inanim:m:v_naz
оркан оркан noun:inanim:m:v_naz
орлан орлан noun:anim:m:v_naz
орлик орлик noun:anim:m:v_naz
орлій орлій adj:m:v_naz
орлон орлон noun:inanim:m:v_naz
орлюк орлюк noun:anim:m:v_naz
орляк орляк noun:inanim:m:v_naz
орний орний adj:m:v_naz
оромо оромо noun:anim:p:v_naz:nv:ns
оруда оруда noun:inanim:f:v_naz
орхіт орхіт noun:inanim:m:v_naz
орчик орчик noun:inanim:m:v_naz
осада осада noun:inanim:f:v_naz
оселя оселя noun:inanim:f:v_naz
осика осика noun:inanim:f:v_naz
осище осище noun:anim:n:v_naz
осище осище noun:inanim:n:v_naz
осіло осіло adv
осінь осінь noun:inanim:f:v_naz
оскар оскар noun:inanim:m:v_naz
ослик ослик noun:anim:m:v_naz
ослін ослін noun:inanim:m:v_naz
осліп осліп adv
ослюк ослюк noun:anim:m:v_naz
осляр осляр noun:anim:m:v_naz
осман осман noun:anim:m:v_naz
осмат осмат noun:inanim:m:v_naz
осмій осмій noun:inanim:m:v_naz
осміх осміх noun:inanim:m:v_naz
осмос осмос noun:inanim:m:v_naz
особа особа noun:anim:f:v_naz
особа особа noun:inanim:f:v_naz
осоїд осоїд noun:anim:m:v_naz
осока осока noun:inanim:f:v_naz
остит остит noun:inanim:m:v_naz
остов остов noun:inanim:m:v_naz
остюк остюк noun:inanim:m:v_naz
остяк остяк noun:anim:m:v_naz
осуга осуга noun:inanim:f:v_naz
осуда осуда noun:inanim:f:v_naz
осьде осьде adv
осьде осьде part
отава отава noun:inanim:f:v_naz
отара отара noun:inanim:f:v_naz
отвір отвір noun:inanim:m:v_naz
отеса отеса noun:inanim:f:v_naz
отець отець noun:anim:m:v_naz
отоді отоді adv:&pron:dem
отомі отомі noun:anim:p:v_naz:nv:ns
отоса отоса noun:inanim:f:v_naz
отрок отрок noun:anim:m:v_naz
оттак оттак adv:&pron:dem
отчий отчий adj:m:v_naz
оупен оупен noninfl:foreign
офіра офіра noun:inanim:f:v_naz
офорт офорт noun:inanim:m:v_naz
офсет офсет noun:inanim:m:v_naz
офшор офшор noun:inanim:m:v_naz
охати охати verb:imperf:inf
охлос охлос noun:inanim:m:v_naz
охляп охляп adv
охота охота noun:inanim:f:v_naz:&predic
охоче охоче adv:compb
очиці очиці noun:inanim:p:v_naz:ns
очища очища noun:inanim:p:v_naz:ns
очкур очкур noun:inanim:m:v_naz
очний очний adj:m:v_naz
павза павза noun:inanim:f:v_naz:ua_2019
павин павин adj:m:v_naz
павич павич noun:anim:m:v_naz
павук павук noun:anim:m:v_naz
павур павур noun:anim:m:v_naz
пагін пагін noun:inanim:m:v_naz
пагри пагри noun:anim:p:v_naz:ns
падіж падіж noun:inanim:m:v_naz
паділ паділ noun:inanim:m:v_naz
падко падко adv
падло падло noun:anim:m:v_naz
падло падло noun:anim:n:v_naz
падло падло noun:inanim:n:v_naz
падре падре noun:anim:m:v_naz:nv
падуб падуб noun:inanim:m:v_naz
паейя паейя noun:inanim:f:v_naz:ua_1992
пазик пазик noun:inanim:m:v_naz
пазур пазур noun:inanim:m:v_naz
пайда пайда noun:inanim:f:v_naz
пайза пайза noun:inanim:f:v_naz
пайка пайка noun:inanim:f:v_naz
пайок пайок noun:inanim:m:v_naz
пакет пакет noun:inanim:m:v_naz
палас палас noun:inanim:m:v_naz
палац палац noun:inanim:m:v_naz
палаш палаш noun:inanim:m:v_naz
палій палій noun:anim:m:v_naz
палка палка noun:inanim:f:v_naz
палко палко adv:compb
пампа пампа noun:inanim:f:v_naz
панас панас noun:inanim:m:v_naz
панда панда noun:anim:f:v_naz
панич панич noun:anim:m:v_naz
панів панів adj:m:v_naz
панін панін adj:m:v_naz
панія панія noun:anim:f:v_naz
панна панна noun:anim:f:v_naz
панно панно noun:inanim:n:v_naz:nv
панок панок noun:anim:m:v_naz
папая папая noun:inanim:f:v_naz
папір папір noun:inanim:m:v_naz:xp1
папір папір noun:inanim:m:v_naz:xp2
парад парад noun:inanim:m:v_naz
параф параф noun:inanim:m:v_naz
парез парез noun:inanim:m:v_naz
парео парео noun:inanim:m:v_naz:nv
парія парія noun:anim:m:v_naz
парія парія noun:anim:f:v_naz
парка парка noun:inanim:f:v_naz
парко парко adv:compb:&predic
парно парно adv:&predic
парня парня noun:inanim:f:v_naz
парох парох noun:anim:m:v_naz
парта парта noun:inanim:f:v_naz
парус парус noun:inanim:m:v_naz
парча парча noun:inanim:f:v_naz
парша парша noun:inanim:f:v_naz
пасаж пасаж noun:inanim:m:v_naz
пасат пасат noun:inanim:m:v_naz
пасив пасив noun:inanim:m:v_naz
пасія пасія noun:anim:f:v_naz
пасія пасія noun:inanim:f:v_naz
паска паска noun:inanim:f:v_naz
пасмо пасмо noun:inanim:n:v_naz
пасок пасок noun:inanim:m:v_naz
паста паста noun:inanim:f:v_naz
пасти пасти verb:imperf:inf
пасти пасти verb:perf:inf
пасха пасха noun:inanim:f:v_naz
патер патер noun:anim:m:v_naz
патик патик noun:inanim:m:v_naz
патіо патіо noun:inanim:n:v_naz:nv
патли патли noun:inanim:p:v_naz:ns
патос патос noun:inanim:m:v_naz
пауза пауза noun:inanim:f:v_naz
пафос пафос noun:inanim:m:v_naz
пахау пахау noun:inanim:m:v_naz:nv
пахва пахва noun:inanim:f:v_naz
пахта пахта noun:inanim:f:v_naz
пацан пацан noun:anim:m:v_naz
пацюк пацюк noun:anim:m:v_naz
пачка пачка noun:inanim:f:v_naz
пашня пашня noun:inanim:f:v_naz
паяти паяти verb:imperf:inf
певне певне adv:&insert:&predic
певен певний adj:m:v_naz:short
певно певно adv:compb:&insert:&predic
пегас пегас noun:anim:m:v_naz
пекан пекан noun:inanim:m:v_naz
пекар пекар noun:anim:m:v_naz
пекар пекар noun:inanim:m:v_naz
пекло пекло noun:inanim:n:v_naz
пекти пекти verb:imperf:inf
пелех пелех noun:anim:m:v_naz
пелех пелех noun:inanim:m:v_naz
пемза пемза noun:inanim:f:v_naz
пенал пенал noun:inanim:m:v_naz
пенат пенат noun:inanim:m:v_naz
пеніс пеніс noun:inanim:m:v_naz
пенні пенні noun:inanim:m:v_naz:nv
пенні пенні noun:inanim:n:v_naz:nv
пепсі пепсі noun:inanim:m:v_naz:nv
перга перга noun:inanim:f:v_naz
перед перед noun:inanim:m:v_naz
перед перед prep
перко перко noun:inanim:n:v_naz
перон перон noun:inanim:m:v_naz
перса перса noun:inanim:p:v_naz:ns
перст перст noun:inanim:m:v_naz
перти перти verb:imperf:inf
перун перун noun:inanim:m:v_naz
перше перше adv:compb
перше перше noun:inanim:n:v_naz
песик песик noun:anim:m:v_naz
песто песто noun:inanim:m:v_naz:nv
петит петит noun:inanim:m:v_naz
петля петля noun:inanim:f:v_naz
печія печія noun:inanim:f:v_naz
пивна пивна noun:inanim:f:v_naz
пивце пивце noun:inanim:n:v_naz
пижмо пижмо noun:inanim:n:v_naz
пилка пилка noun:inanim:f:v_naz
пилок пилок noun:inanim:m:v_naz
пиляк пиляк noun:inanim:m:v_naz
пиляр пиляр noun:anim:m:v_naz
пипка пипка noun:inanim:f:v_naz
пиріг пиріг noun:inanim:m:v_naz
пирій пирій noun:inanim:m:v_naz
пирск пирск noninfl:&predic
писар писар noun:anim:m:v_naz
писок писок noun:inanim:m:v_naz
питач питач noun:anim:m:v_naz
питво питво noun:inanim:n:v_naz
питки питки verb:imperf:inf:dimin
питне питне noun:inanim:n:v_naz
пиття пиття noun:inanim:n:v_naz
питун питун noun:inanim:m:v_naz
пичка пичка noun:inanim:f:v_naz
пишно пишно adv:compb
пищик пищик noun:inanim:m:v_naz
пияка пияка noun:anim:m:v_naz
пияка пияка noun:anim:f:v_naz
піала піала noun:inanim:f:v_naz
піано піано adv
піано піано noun:inanim:n:v_naz:nv
півня півня noun:anim:n:v_naz
півть півть noun:inanim:f:v_naz
півча півча noun:anim:f:v_naz
підле підле noun:inanim:n:v_naz
підло підло adv:compb
пізно пізно adv:compb:&predic
пійло пійло noun:inanim:n:v_naz
пікап пікап noun:inanim:m:v_naz
пікет пікет noun:inanim:m:v_naz
пікша пікша noun:anim:f:v_naz
пілка пілка noun:inanim:f:v_naz
пілон пілон noun:inanim:m:v_naz
пілот пілот noun:anim:m:v_naz
пінія пінія noun:inanim:f:v_naz
пінка пінка noun:inanim:f:v_naz
пінно пінно adv
пінта пінта noun:inanim:f:v_naz
пінчо пінчо noun:inanim:m:v_naz:nv
пірат пірат noun:anim:m:v_naz
пірен пірен noun:inanim:m:v_naz
пірит пірит noun:inanim:m:v_naz
пірол пірол noun:inanim:m:v_naz
пірон пірон noun:inanim:m:v_naz
піроп піроп noun:inanim:m:v_naz
пірце пірце noun:inanim:n:v_naz
після після adv
після після prep
пісно пісно adv:compb
пісня пісня noun:inanim:f:v_naz
пісок пісок noun:inanim:m:v_naz
піспа піспа noun:inanim:f:v_naz
пітія пітія noun:anim:f:v_naz
пітон пітон noun:anim:m:v_naz
піфія піфія noun:anim:f:v_naz
піфос піфос noun:inanim:m:v_naz
піхва піхва noun:inanim:f:v_naz
піхта піхта noun:inanim:f:v_naz
пічка пічка noun:inanim:f:v_naz
пішак пішак noun:anim:m:v_naz
пішак пішак noun:inanim:m:v_naz
піший піший adj:m:v_naz
піший піший noun:anim:m:v_naz
пішки пішки adv
піяка піяка noun:anim:m:v_naz
піяка піяка noun:anim:f:v_naz
піяка піяка noun:inanim:m:v_naz
пласт пласт noun:inanim:m:v_naz
плата плата noun:inanim:f:v_naz
плато плато noun:inanim:n:v_naz:nv
плаун плаун noun:inanim:m:v_naz
плаха плаха noun:inanim:f:v_naz
плебс плебс noun:inanim:m:v_naz
плеєр плеєр noun:inanim:m:v_naz
плеск плеск noun:inanim:m:v_naz
плесо плесо noun:inanim:n:v_naz
плече плече noun:inanim:n:v_naz
плись плись onomat:&predic
плита плита noun:inanim:f:v_naz
пліва пліва noun:inanim:f:v_naz
плісе плісе noun:inanim:n:v_naz:nv
пліть пліть noun:inanim:f:v_naz
плоть плоть noun:inanim:f:v_naz
площа площа noun:inanim:f:v_naz
плюск плюск noun:inanim:m:v_naz
плюсь плюсь onomat:&predic
пляма пляма noun:inanim:f:v_naz
пнути пнути verb:imperf:inf
побит побит noun:inanim:m:v_naz
побій побій noun:inanim:m:v_naz
побік побік prep
побіл побіл noun:inanim:m:v_naz
побір побір noun:inanim:m:v_naz
побіч побіч adv
побіч побіч prep
побут побут noun:inanim:m:v_naz
поваб поваб noun:inanim:m:v_naz
повів повів noun:inanim:m:v_naz
повід повід noun:inanim:m:v_naz
повік повік adv
повіт повіт noun:inanim:m:v_naz
повія повія noun:anim:f:v_naz
повен повний adj:m:v_naz:short
повно повно adv:compb:&predic
повня повня noun:inanim:f:v_naz
